"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138173632000","147353588000","156174635000","161373779000","169215880000","175929400000","182438200000","187850300000","195153100000","200620700000","211746300000","217509500000","225419300000","231279500000","242014300000","253537000000","268450000000","283691700000","296212200000","287919200000","298371800000","311174300000","318974800000","324783900000","333585200000","340879500000","357580999999.998","365898500000","381651200000.001","396081400000","378893700000","",
"Azerbaiyán","AZE","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31500000","375000000","2130400000","2724700000","3151000000","3452300000","3929000000","4633500000","5180800000","5873900000","6899200000","8025500000","11094200000","16502000000","24215700000.0001","36012500000.0001","32973500000.0001","39922200000","48519100000.0001","51644699999.9999","55288399999.9999","57322400000","52641200000","56794000000","67678600000.0001","76251000000","78741499999.9999","72005599999.9999","",
"Burundi","BDI","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235465960691.571","258097156268.492","274114620147.356","277400388768.911","284055246495.945","303649209835.221","318786039486.331","416436757284.585","487592240341.922","552704643492.532","637638774100","717818608000","755497575100","830107579300","977559857000","1189100034000","1300847584700","1460847968900","1906040529400","2170595954200","2487747000000","2797534000000","3356410000000","3815300000000","4174499000000","4877192999999.99","4895701000000","5476768000000","5425363500000.01","5572883163100","6271513822399.99","",
"Bélgica","BEL","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170634242000","179438938000","188378143000","195925323000","208082350000","215111300000","219271000000","229554700000","238273400000","247952100000","262983700000","269279500000","277978200000","286569500000","300941200000","313910900000","329827600000","348398700000","360298400000","352915900000","368713800000","376569300000","395135800000","402558600000","411459400000","422598800000","434210599999.998","449129999999.999","464101099999.999","482755000000.002","461728899999.998","",
"Benin","BEN","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529129681808.975","558093779989.926","580016895062.874","640153242882.852","867753103200","1060875827900","1184292585900","1306533142400","1440486934100","2255741000000","2491192000000","2674448000000","2890058000000","3079881000000","3244818000000","3453484000000","3659002000000","3886757000000","4360266000000","4564432000000","4691545000000","5031898440000","5654219200000","6148471710000","6529098000000","6678116000000","6944334500000.03","7293872000000.02","7835110000000","8348178399500.03","8915157938499.99","",
"Burkina Faso","BFA","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","842374999000","881818019300","885318984700","900700515300","1044354930200","1182722149900","1326685896700","1427349553400","1653107270000","2088598025100","2105496417800","2327773673900","2489084805400","2717471122800","2850937022000","3206948044700","3410828933000","3639174927500","4198955479200","4389344386200","4852715892900","5463017921900","6250994016200","6460556573400","6585488829700","6676628000000","7266369000000.03","7883770999999.98","8547175000000.01","8979948821899.96","9592041904499.98","",
"Bangladesh","BGD","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1209192868412.86","1286856897414.9","1395426704340.93","1467132931555.38","1590142186534.38","1789836804442.08","1948870000000","2118490000000","2334271000000","2540615000000","2772169000000","3001783000000","3268229000000","3623620000000","3998771000000","4460021000000","5095444660200","5850751999999.98","6770717000000","7609729999999.98","8621422000000.02","9883422999999.98","11445060389300","12953522718700","14332238000000","16142043000000","18326749000000","20607165000000","23531076000000","26560922000000","28732298000000","",
"Bulgaria","BGR","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41790999.9999999","121924000","197507000","293581999.999999","515169099.999999","1246660200","2116681700","18432097500","25960973900","24703513700","27438189800","31041087400","34782161500","37233615300","41682502600","47148683800","52281367000","58816209600","69324357200","70837543000","73320015000","78586566000","81546790000","80432839000","83425519000","86811117000","92425149999.9996","100427938000","106402614000","116994813000","117668855000","",
"Bahrein","BHR","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1673700000","1807600000","1798500000","1882400000","2002200100","2177255600","2284819500","2298520100","2264192700","2387834200","3323567500","3254139300","3409780900","3978770500","4728345600","5849195900","6813057300","8058174000.00001","9319997300.00001","7722420800","8775937000","9404599999.99996","11182959100","11785195100","11939922400","11022341600","11445250000","12590030000","13432999999.9999","13683370000","12133590000","",
"Bahamas","BHS","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5482551545.47553","5378392139.67835","5470933782.33842","5394767081.05191","5683875264.27819","6578300777.14327","7258947655.471","6870143839.2606","6713461400.62056","7644489227.82909","8028155829.79473","8213561777.45247","8797855671.04723","8818584827.8894","9016991844.40504","9766041541.09629","10064922590.0029","10507544631.4717","10586414081.2285","9955204549.55913","10003119249.7723","9996901298.43315","10441120000","10197010000","10706740000","11395780000","11436580000","11814220000.0001","12002740000","12542250000","9374919999.99997","",
