"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Samoa Americana","ASM","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","6600000","12600000","12000000","59500000","51400000","49300000","36500000","35200000","28300000","31529629.6296296","26303703.7037037","28192592.5925926","29144444.4444444","33425925.9259259","55203703.7037037","75007407.4074074","62077777.7777778","44448148.1481481","53144444.4444444","38033333.3333333","37874074.0740741","36433333.3333333","37875585.1851852","52353966.6666667","44649629.6296296","33639382.2222222","44725100.3703704","57061044.4444444","82670221.4814815","73995931.1111111","59283601.8518519","65385681.1111111","50741039.6296296","45715381.1111111","56150986.2962963","59042074.0740741","64197195.5555556","98707946.4701852","67572501.5259259","50060382.7148148","37177841.7403293","42970058.4666667","50071207.3064344","34439129.7478433","",
"Australia","AUS","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37237292830.3793","39732496801.3425","42447458920.6395","42915586221.0808","42716537707.0093","47436944946.5434","53307054295.3491","60515586486.3013","64969123660.5911","55848921246.0652","56029835314.3814","64039984645.4577","63666859385.98","65090759266.5292","70510644518.6849","87128030618.7002","106941616296.545","124640948584.018","142512505539.395","188946626618.983","154778034177.392","213809673280.712","271925907371.409","258389569714.081","254151549253.004","240655811679.605","188212275427.047","192876229205.848","231536493449.106","257957671511.957","271522330125.413","251420432034.136","",
"Austria","AUT","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114048373178.308","129502213823.209","156813049415.622","172808455482.506","131816675706.73","145030989197.691","170267533264.847","160181602087.721","164299110366.932","167467837968.342","143325051410.67","145575180209.778","158250919996.696","176297699854.726","170040773242.939","158141090200.759","199277522828.86",
"Azerbaiyán","AZE","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612343000","643669000","808257000","677751000","1025231000","1858335000","2078931000","2295484000","2611091000","3586852000","7398064000","12749075000","20899798000","30220553000","20658360000","25741126000","33996343000","31877133000","31781146000","28259658000","15586052000","13210511000","15152059000","20793769000","19868261000","12588158000","",
"Burundi","BDI","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","113645826.213411","129139529.638823","98337836.1791411","124356280.49432","93245798.3193275","72750983.5455325","92957742.5991129","76955327.8242556","73861108.8228025","80653045.0700044","112889502.817733","40413326.873954","87472476.5326226","64030789.9032047","54983253.8538316","49052598.9583815","39154897.9149439","31015982.6448049","37528126.2123367","48482605.1412481","60801764.337049","58676450.910458","58836291.4957643","69648172.7600437","68414018.2832445","101236293.907907","123982004.747279","134698608.194335","94050454.7162038","131793726.805257","120838349.384343","124686434.805031","172637712.507699","180189335.845191","","","",
"Bélgica","BEL","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156715081769.909","172260062969.223","207354454052.021","227937060847.952","246975529406.12","287722057568.482","315455392188.022","241722276204.91","271416529007.792","323936738329.024","300843027834.939","312714354329.577","310964264830.671","250722110614.368","269061087009.516","300372889795.068","326319855249.955","315893847803.383","296011292306.125","377021378405.699",
"Benin","BEN","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","92985317.7325051","116096604.35926","85858788.7124043","129062359.379914","125562881.330109","132906080.610812","163953393.086272","388037523.850763","135356523.604387","132297279.825646","223820821.736699","297821122.828435","308686623.308397","366344777.221883","190194187.578316","187904202.167233","237493803.31485","373533212.798458","345078690.541192","393479252.084553","397904595.779931","419936213.605216","522869180.501224","424023277.085973","414271319.345114","421600058.373024","393306762.291777","373840199.82531","449946156.535667","542039308.700978","569568439.232025","578343031.80628","736112437.205128","1048143874.18628","1287372077.71432","1229494122.82181","1282783670.83005","1252444989.30808","1442539724.86132","1982438622.57512","2566617492.68619","2392374854.60175","2835518188.30016","2980590514.4966","3344316327.72822","3056477195.61364","2995822076.06079","",
"Burkina Faso","BFA","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","481050691.591492","607701814.13613","655639140.925876","861096332.561386","903791077.876604","1592528572.29971","2402090824.7171","2868098757.58934","2663142643.72373","2759035496.93939","2364117632.93816","2828797023.50057","3250281394.88532","3954237905.00671","3927770511.61445","4846982739.9002","",
"Bangladesh","BGD","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","399293223.918071","476434798.670093","549261812.820154","655590632.947201","793230497.814336","790466640.274846","768435438.547355","723946923.529866","931742139.013261","999457038.627625","879997897.832679","1076878928.04765","1291023745.75444","1304772234.27332","1672401690.28248","1688658600.65177","2097866552.17654","2544671068.93269","2934413942.29779","3733288293.67246","4008737692.99452","4839709274.92482","5140892902.68629","5457697104.97811","6398441702.82782","6083646028.93574","5989425301.43919","6814326705.70285","7977826434.27744","9054546739.81249","11233798031.1265","12137743126.3536","15298332386.3006","15051721757.0365","19209407428.1808","24537200415.0624","24904204337.9242","28638191700.163","29924488670.0178","31736035719.1971","34122050869.9339","35300765072.6353","38681904956.1401","38747293729.4974","32456147196.7469","41908422732.2116",
