country,agricul_2017,inv_2017,pbi_num,pbi_2017
Hungrí­a,5372714684.80506,-12133055292.6452,29501.1204204706,Bajo
Sólo BIRF,2263086780907.73,525414346451.054,12516.0164676555,Muy bajo
BIRF y la AIF,2686160586436.02,575768153959.955,10253.1526470248,Muy bajo
total de la AIF,423944218795.816,50353807508.9009,3535.85970261986,Muy bajo
mezcla de la AIF,196589274323.724,14610110800.2685,4845.8255452983,Muy bajo
Indonesia,133621208764.874,20510310832.4469,10935.6317158256,Muy bajo
Sólo AIF,227475338016.131,35743696708.6324,2882.83856943964,Muy bajo
India,439039677566.795,39966091358.7384,6182.92210857444,Muy bajo
Irlanda,3956064402.31765,58300808407.7812,77749.2019569363,Alto
"Irán, República Islámica del",42306665581.193,5.019e+09,14535.8735778483,Muy bajo
Iraq,5572960135.13513,-5032400000,10526.3709148753,Muy bajo
Islandia,935456901.558007,-6999892980.93709,55638.4920591796,Medio
Israel,4289269826.11174,16892500000,39121.2958325461,Bajo
Italia,38700052902.9412,11138429977.1854,41581.120790548,Bajo
Jamaica,982100504.436777,888835228.478601,9600.10474580389,Muy bajo
Jordania,1972112676.05634,2029718309.85915,10003.5749827297,Muy bajo
Japón,55641568300.4069,18802251208.1069,41505.0824777862,Bajo
Kazajstán,7534592225.17722,4712631470.52606,24862.9661245889,Bajo
Kenya,17140262776.9413,1266137282.66311,4203.58501078548,Muy bajo
Kirguistán,963989852.860672,-107212800,5046.69153549095,Muy bajo
Camboya,5180913497.25225,2788084321.65816,3928.37393363069,Muy bajo
Kiribati,57140055.0880737,784797.254894666,2235.70735994823,Muy bajo
Saint Kitts y Nevis,11175259.2592593,48026116.1448074,26982.9295790329,Bajo
"Corea, República de",30054459182.8593,17912900000,40957.4180587145,Bajo
Kuwait,633825255.522585,113012065.007347,50855.5529145289,Medio
América Latina y el Caribe (excluido altos ingresos),251484533763.472,152463735659.393,15419.8204951669,Muy bajo
República Democrática Popular Lao,2765487262.3362,1693080810.93877,7257.81210698745,Muy bajo
Lí­bano,1559066980.43871,2522409653.4,16043.0606967963,Muy bajo
Liberia,1218707500,247842983.01405,1564.19768164013,Muy bajo
Santa Lucí­a,33027245.4328994,89941452.0910667,14928.396096145,Muy bajo
América Latina y el Caribe,329593066769.383,203987125784.987,15928.5586973158,Muy bajo
Paí­ses menos desarrollados: clasificación de las Naciones Unidas,202072690894.912,20977717723.0904,2841.18714695135,Muy bajo
Paí­ses de ingreso bajo,106926562827.782,12955014222.7149,1925.58107699979,Muy bajo
Sri Lanka,6848270607.24294,1372723043.13402,12584.1047924776,Muy bajo
Paí­ses de ingreso mediano bajo,1104067018123.09,138000315980.621,6728.30974735579,Muy bajo
Ingreso mediano y bajo,2605633684218.88,555090416284.245,9993.18103720812,Muy bajo
Lesotho,114530660.660661,42168784.1137567,2668.29142526247,Muy bajo
avanzada del dividendo demográfico,1302458541309.36,452563721758.378,15953.2892732613,Muy bajo
Lituania,1675143213.80471,1383731106.4056,33761.871239796,Bajo
Luxemburgo,154142737.167059,-6815331955,114985.842235989,Muy alto
Letonia,1082904467.99647,1153575224.71464,28673.5633962664,Bajo
Marruecos,13559533635.9884,2680109856.21237,7312.05677903856,Muy bajo
República de Moldova,1109339802.15147,149520000,11651.3174546862,Muy bajo
Madagascar,3234803140.22932,464856589.648809,1584.4245185911,Muy bajo
Maldivas,254422668.486385,457808313.566538,18057.9109233313,Muy bajo
Oriente Medio y Norte de África,152765123933.206,53838738552.0462,16224.6992116068,Muy bajo
México,39183705967.8229,33170534975,19721.2609759241,Muy bajo
Islas Marshall,32633800,5835497.47968519,3711.89600373591,Muy bajo
Ingreso mediano,2498322678268.45,542135402061.53,10874.1494748941,Muy bajo
Macedonia del Norte,890232413.496629,380738977.544776,15706.4441718656,Muy bajo
Malí­,5751761755.26779,559362392.099868,2246.79742084484,Muy bajo
Malta,90104151.0903243,3890244436.94056,42644.0804444448,Bajo
Myanmar,15311728852.7999,4804272487.31986,4224.54503061412,Muy bajo
Oriente Medio y Norte de África (excluido altos ingresos),125313715405.411,16747748258.0288,10446.0374445668,Muy bajo
Montenegro,332043047.103899,560665419.031984,19682.2651956681,Muy bajo
Mongolia,1278648794.93914,1494350363.46922,11366.3039371032,Muy bajo
Mozambique,3310545313.85892,2319071971.47682,1283.65986980986,Muy bajo
Mauritania,1544664804.46927,588217194.758539,5108.54913220438,Muy bajo
Mauricio,410482172.997616,479995890.3,21415.1161096211,Muy bajo
Malawi,2050418165.82166,90200000,1472.14686847702,Muy bajo
Malasia,27438145288.8103,9368469822.66146,26661.5074160333,Bajo
América del Norte,216811055151.037,405892691729.5,58922.1128700706,Medio
Namibia,989852100.714017,280476974.998847,10171.4214953612,Muy bajo
Ní­ger,4006154393.29297,338710710.13916,1163.22617020833,Muy bajo
Nigeria,78330256171.161,2412974916.23264,5190.35612668836,Muy bajo
Nicaragua,2067391666.87479,1035400000,6004.01408757341,Muy bajo
Paí­ses Bajos,15473243074.1177,213647718972.371,55088.6338006744,Medio
Noruega,7874108402.1761,5900604723.78859,64050.7561654659,Medio
Nepal,6866135824.5258,196265098.563575,3565.19780740052,Muy bajo
Nueva Zelandia,12217491962.1764,2390035935.47737,42285.319902666,Bajo
Miembros OCDE,745358270953.134,1358123291753.3,43389.812351618,Bajo
Omán,1604681404.42133,2917295188.55657,33308.4843146012,Bajo
Otros Estados pequeos,8701412124.11545,19157821458.7732,22637.095332475,Muy bajo
Pakistán,69824686104.6445,2.496e+09,4571.20507840804,Muy bajo
Panamá,1483351007.6731,4082062468.94,30446.8495664097,Bajo
Perú,14305781321.8831,6860492819.49823,12506.5293750586,Muy bajo
Filipinas,33449056032.4587,10256442398.8834,8120.86879330973,Muy bajo
Palau,10100000,27484632.723017,17770.5619972634,Muy bajo
Papua Nueva Guinea,4013973253.5265,161470622.807911,4285.62875648139,Muy bajo
Polonia,15122906358.3203,1.1762e+10,30064.5034841771,Bajo
previa al dividendo demográfico,220558558713.607,10140450929.6324,3537.89228901003,Muy bajo
Portugal,4639370136.80471,10683844360.5991,33044.7167387479,Bajo
Paraguay,4105127754.20816,744619762.899364,12590.548443655,Muy bajo
Ribera Occidental y Gaza,1135500000,183950642.861711,6401.74089135074,Muy bajo
posterior al dividendo demográfico,617252909955.56,1444471736747.86,47588.8308420883,Bajo
Qatar,345946730.769231,985989010.989011,91738.7527956234,Alto
Rumania,9131054904.38001,5952909608.10492,27141.9009335846,Bajo
Federación de Rusia,55941254578.1142,28557440000,25926.4438539743,Bajo
Rwanda,2437769871.33966,274025990.659944,1975.24866113275,Muy bajo
Asia meridional,561651164979.014,46334263754.3824,5773.98060124132,Muy bajo
Arabia Saudita,17410713866.6667,1418843613.80048,47306.222319502,Bajo
Sudán,8764735157.14286,1065298481.41867,4598.85002570756,Muy bajo
Senegal,3145712432.14795,588292997.958708,3203.90636811769,Muy bajo
Singapur,105655731.769136,100786356970.871,95350.4356748021,Alto
Sierra Leona,2254350171.97395,413724476.112752,1633.73073779599,Muy bajo
