country,pbi_2017,cre_2017,exp_2017,interval,idh_2018
Mongolia,11366.3039371032,3.68853378857119,5834308756.32769,Muy bajo,0.737
Montenegro,19682.2651956681,4.70468752737763,434357986.208706,Muy bajo,0.829
Mozambique,1283.65986980986,0.775346479703657,4725302368.26399,Muy bajo,0.456
Namibia,10171.4214953612,-2.86362140425037,3743236986.18695,Muy bajo,0.646
Nepal,3565.19780740052,7.5210298922342,835688143.39895,Muy bajo,0.602
Nicaragua,6004.01408757341,3.30721604895172,4179500000,Muy bajo,0.660
Nigeria,5190.35612668836,-1.78881762090789,45817488230.3321,Muy bajo,0.539
Noruega,64050.7561654659,1.50018092554136,103776255071.32,Medio,0.957
Omán,33308.4843146012,-3.70965167080264,32871181919.1025,Bajo,0.813
Pakistán,4571.20507840804,3.38392800367239,2.3163e+10,Muy bajo,0.557
Panamá,30446.8495664097,3.79946361861217,13817445647.77,Bajo,0.815
Paraguay,12590.548443655,3.44894824730363,12980614407.1487,Muy bajo,0.728
Perú,12506.5293750586,0.829126308957157,45421593444.4736,Muy bajo,0.777
Polonia,30064.5034841771,4.81757385257684,2.28214e+11,Bajo,0.880
Portugal,33044.7167387479,3.75909438887767,60226997979.6348,Bajo,0.864
Reino Unido,46372.38660351,1.44292936752505,435358461804.333,Bajo,0.932
República Dominicana,16735.3644228294,3.5180711549784,10134600000,Muy bajo,0.756
Samoa,6489.77678623675,0.619350401445942,37341564.5026196,Muy bajo,0.715
San Vicente y las Granadinas,12245.1263378297,0.669624012432067,44416907.4555556,Muy bajo,0.738
Senegal,3203.90636811769,4.4411878629361,3285684203.88494,Muy bajo,0.512
Serbia,16611.023740948,2.64598586238259,15904718053.4766,Muy bajo,0.806
Seychelles,27309.7621128652,3.46414233289319,564804873.970003,Bajo,0.796
Sierra Leona,1633.73073779599,1.97222909064014,766398199.718122,Muy bajo,0.452
Singapur,95350.4356748021,4.42782016185458,417224758766.769,Alto,0.938
Sri Lanka,12584.1047924776,2.41409866202615,11360418564.9976,Muy bajo,0.782
Sudáfrica,13860.2701664709,-0.265300653069517,87638027809.0249,Muy bajo,0.709
Sudán,4598.85002570756,-1.67431434434694,4100380501.9896,Muy bajo,0.510
Suecia,51947.9542478244,1.19514757132167,165542840223.558,Medio,0.945
Suiza,69103.570264696,0.641284065674213,328751588218.968,Medio,0.955
Tailandia,17422.9523512059,3.81867425078065,233688041597.889,Muy bajo,0.777
Tayikistán,3252.93265536068,4.48656343288916,872964168.2,Muy bajo,0.668
Togo,2012.24069260973,1.79243016113288,1018601709.37784,Muy bajo,0.515
Tonga,6467.12427796495,2.452312649135,20785771.7281896,Muy bajo,0.725
Trinidad y Tobago,26342.6166624768,-3.44273320815914,9644696294.44611,Bajo,0.796
Túnez,11234.4897248596,1.08617526745563,14310507661.9445,Muy bajo,0.740
Ucrania,11860.5609298492,2.810645078612,3.9701e+10,Muy bajo,0.779
Uganda,2074.65243576542,-0.670054581381933,3449910974.92032,Muy bajo,0.544
Uruguay,23009.8742286911,1.25792913208215,11121674852.0875,Muy bajo,0.817
Uzbekistán,6840.70986001705,2.6524847322477,10161532897.2477,Muy bajo,0.720
Vanuatu,3081.83519771335,3.64448510922514,60504500.8536054,Muy bajo,0.609
Zambia,3485.02178024575,0.494085597516801,8215549658.00705,Muy bajo,0.584
